Visit_ID,Visit_Date,University,Zip_Code,State,Student_Level,Housing,Financial_Aid,Meal_Plan,Food_Weight_lbs
V-1743,2021-01-22,UW Seattle,98195,WA,Undergraduate,On-Campus,Pell Grant,None,10.34
V-1744,2023-01-13,Arizona State,85281,AZ,Graduate,Off-Campus,Pell Grant,None,14.29
V-1745,2023-05-12,Texas A&M,77843,TX,Undergraduate,Off-Campus,Scholarship,None,18.34
V-1746,2023-02-01,Rutgers,08901,NJ,Undergraduate,Off-Campus,Pell Grant,None,10.29
V-1747,2024-02-23,Rutgers,08901,NJ,Graduate,Off-Campus,None,Partial,20.48
V-1748,2022-11-07,UMass Amherst,01003,MA,Undergraduate,Off-Campus,Scholarship,None,12.25
V-1749,2022-09-26,UW Seattle,98195,WA,Undergraduate,On-Campus,None,None,9.51
V-1750,2023-12-05,UW Seattle,98195,WA,Undergraduate,Off-Campus,Scholarship,None,18.66
V-1751,2020-06-12,Ohio State,43210,OH,Graduate,Off-Campus,Scholarship,None,21.41
V-1752,2022-09-29,Texas A&M,77843,TX,Undergraduate,Off-Campus,Pell Grant,Partial,12.63
V-1753,2022-03-02,Ohio State,43210,OH,Undergraduate,Off-Campus,Pell Grant,None,13.67
V-1754,2023-09-21,UW Seattle,98195,WA,Undergraduate,On-Campus,None,None,15.41
V-1755,2021-12-21,UC Irvine,92697,CA,Undergraduate,Off-Campus,Scholarship,Full,9.1
V-1756,2020-06-20,Texas A&M,77843,TX,Undergraduate,Off-Campus,Pell Grant,Partial,8.4
V-1757,2023-02-24,UMass Amherst,01003,MA,Undergraduate,On-Campus,Pell Grant,Partial,14.4
V-1758,2022-11-13,Rutgers,08901,NJ,Undergraduate,Off-Campus,None,None,9.52
V-1759,2022-06-04,UW Seattle,98195,WA,Undergraduate,Off-Campus,Pell Grant,None,13.78
V-1760,2023-08-28,UC Irvine,92697,CA,Graduate,Off-Campus,Pell Grant,None,11.72
V-1761,2022-09-02,Ohio State,43210,OH,Undergraduate,Off-Campus,Scholarship,None,12.36
V-1762,2022-11-19,Georgia Tech,30332,GA,Undergraduate,Off-Campus,None,None,15.45
V-1763,2024-06-30,Rutgers,08901,NJ,Graduate,Off-Campus,Pell Grant,None,22.43
V-1764,2023-10-19,UMass Amherst,01003,MA,Graduate,Off-Campus,None,Full,25.61
V-1765,2022-10-24,UW Seattle,98195,WA,Undergraduate,On-Campus,Scholarship,Partial,9.77
V-1766,2022-02-23,Texas A&M,77843,TX,Undergraduate,Off-Campus,Pell Grant,Partial,13.36
V-1767,2023-05-25,Texas A&M,77843,TX,Undergraduate,On-Campus,None,None,18.4
V-1768,2023-06-15,Rutgers,08901,NJ,Undergraduate,Off-Campus,Pell Grant,None,15.87
V-1769,2023-05-02,Michigan State,48824,MI,Undergraduate,Off-Campus,Pell Grant,Partial,17.87
V-1770,2021-02-05,Michigan State,48824,MI,Undergraduate,Off-Campus,Scholarship,None,8.11
V-1771,2023-08-28,Ohio State,43210,OH,Undergraduate,On-Campus,Scholarship,Partial,15.18
V-1772,2023-01-16,UF Gainesville,32611,FL,Undergraduate,Off-Campus,Pell Grant,None,13.52
V-1773,2021-03-28,UC Irvine,92697,CA,Undergraduate,On-Campus,Pell Grant,Partial,13.35
V-1774,2023-08-08,Rutgers,08901,NJ,Undergraduate,On-Campus,Scholarship,None,11.67
V-1775,2022-04-26,Michigan State,48824,MI,Graduate,Off-Campus,Pell Grant,Partial,25.05
V-1776,2022-07-07,Ohio State,43210,OH,Undergraduate,Off-Campus,Pell Grant,None,16.73
V-1777,2021-10-30,UF Gainesville,32611,FL,Graduate,Off-Campus,Scholarship,Full,24.1
V-1778,2021-10-10,UW Seattle,98195,WA,Undergraduate,Off-Campus,Pell Grant,Partial,14.55
V-1779,2023-09-25,UF Gainesville,32611,FL,Undergraduate,Off-Campus,Pell Grant,Partial,12.16
V-1780,2022-03-10,Arizona State,85281,AZ,Undergraduate,Off-Campus,None,None,16.18
V-1781,2022-08-18,Georgia Tech,30332,GA,Undergraduate,Off-Campus,Scholarship,Full,19.35
V-1782,2021-12-05,UMass Amherst,01003,MA,Undergraduate,Off-Campus,Pell Grant,Partial,14.67
V-1783,2023-10-06,Arizona State,85281,AZ,Undergraduate,Off-Campus,Pell Grant,Partial,11.31
V-1784,2023-05-31,Michigan State,48824,MI,Undergraduate,Off-Campus,Pell Grant,None,12.4
V-1785,2024-08-03,Rutgers,08901,NJ,Undergraduate,On-Campus,None,Partial,15.83
V-1786,2023-11-01,UMass Amherst,01003,MA,Undergraduate,Off-Campus,Pell Grant,Full,20.89
V-1787,2023-09-08,Georgia Tech,30332,GA,Undergraduate,Off-Campus,None,Full,22.15
V-1788,2023-11-16,UF Gainesville,32611,FL,Undergraduate,On-Campus,Pell Grant,None,11.69
V-1789,2022-06-22,Texas A&M,77843,TX,Graduate,On-Campus,None,None,21.42
V-1790,2024-05-03,Ohio State,43210,OH,Undergraduate,Off-Campus,Scholarship,None,13.09
V-1791,2022-10-18,UC Irvine,92697,CA,Graduate,On-Campus,Pell Grant,None,15.11
V-1792,2022-10-26,UMass Amherst,01003,MA,Undergraduate,On-Campus,None,None,16.57
V-1793,2022-02-01,UW Seattle,98195,WA,Undergraduate,On-Campus,Scholarship,None,14.26
V-1794,2021-06-25,Michigan State,48824,MI,Graduate,On-Campus,None,None,20.03
V-1795,2023-06-02,UW Seattle,98195,WA,Undergraduate,Off-Campus,Pell Grant,Partial,14.08
V-1796,2022-04-10,Michigan State,48824,MI,Undergraduate,On-Campus,Pell Grant,None,15.04
V-1797,2023-12-29,UF Gainesville,32611,FL,Undergraduate,On-Campus,Pell Grant,None,16.26
V-1798,2024-04-16,Georgia Tech,30332,GA,Undergraduate,Off-Campus,Pell Grant,None,18.78
V-1799,2022-11-20,Rutgers,08901,NJ,Undergraduate,Off-Campus,Pell Grant,None,11.06
V-1800,2023-12-23,UF Gainesville,32611,FL,Undergraduate,Off-Campus,None,None,18.74
V-1801,2023-06-12,Ohio State,43210,OH,Undergraduate,On-Campus,None,None,17.7
V-1802,2021-10-16,Ohio State,43210,OH,Undergraduate,Off-Campus,Pell Grant,Partial,14.74
V-1803,2024-05-21,Michigan State,48824,MI,Undergraduate,Off-Campus,None,Partial,15.63
V-1804,2020-11-18,UMass Amherst,01003,MA,Graduate,Off-Campus,Pell Grant,None,18.33
V-1805,2023-08-17,UW Seattle,98195,WA,Undergraduate,Off-Campus,None,None,14.56
V-1806,2023-11-23,UF Gainesville,32611,FL,Graduate,Off-Campus,Pell Grant,None,21.24
V-1807,2023-12-22,Georgia Tech,30332,GA,Graduate,Off-Campus,Scholarship,Partial,15.21
V-1808,2023-08-24,Rutgers,08901,NJ,Undergraduate,Off-Campus,Pell Grant,None,24.12
V-1809,2023-01-12,Arizona State,85281,AZ,Graduate,Off-Campus,Scholarship,Partial,24.73
V-1810,2022-04-27,Rutgers,08901,NJ,Undergraduate,Off-Campus,None,Partial,21.1
V-1811,2024-02-03,Rutgers,08901,NJ,Undergraduate,Off-Campus,Pell Grant,None,17.77
V-1812,2023-05-24,Georgia Tech,30332,GA,Undergraduate,Off-Campus,Scholarship,None,12.23
V-1813,2022-11-21,UMass Amherst,01003,MA,Graduate,Off-Campus,Scholarship,Partial,22.22
V-1814,2020-05-30,Ohio State,43210,OH,Undergraduate,Off-Campus,None,None,15.64
V-1815,2024-10-30,Ohio State,43210,OH,Undergraduate,On-Campus,None,None,12.16
V-1816,2021-05-04,UMass Amherst,01003,MA,Undergraduate,Off-Campus,Pell Grant,Partial,18.22
V-1817,2021-12-02,Rutgers,08901,NJ,Undergraduate,Off-Campus,None,None,11.85
V-1818,2023-03-03,UF Gainesville,32611,FL,Undergraduate,Off-Campus,Pell Grant,None,17.42
V-1819,2021-11-04,Georgia Tech,30332,GA,Undergraduate,Off-Campus,Scholarship,None,19.26
V-1820,2022-07-15,UF Gainesville,32611,FL,Undergraduate,On-Campus,Pell Grant,Partial,15.14
V-1821,2020-04-22,Ohio State,43210,OH,Undergraduate,Off-Campus,None,None,18.06
V-1822,2023-09-21,Ohio State,43210,OH,Undergraduate,Off-Campus,Pell Grant,None,9.18
V-1823,2021-08-22,Texas A&M,77843,TX,Undergraduate,Off-Campus,Pell Grant,Partial,8.89
V-1824,2022-05-08,Rutgers,08901,NJ,Undergraduate,On-Campus,Pell Grant,Full,10.61
V-1825,2023-08-13,UC Irvine,92697,CA,Undergraduate,On-Campus,None,None,6.52
V-1826,2024-02-22,Rutgers,08901,NJ,Graduate,Off-Campus,None,None,14.52
V-1827,2022-09-25,Michigan State,48824,MI,Undergraduate,On-Campus,Pell Grant,None,20.02
V-1828,2023-07-19,UF Gainesville,32611,FL,Graduate,Off-Campus,Pell Grant,None,25.5
V-1829,2021-04-18,Texas A&M,77843,TX,Undergraduate,Off-Campus,Pell Grant,Partial,10.74
V-1830,2023-04-06,Georgia Tech,30332,GA,Undergraduate,Off-Campus,Scholarship,Partial,23.47
V-1831,2021-01-30,UC Irvine,92697,CA,Undergraduate,On-Campus,None,None,11.68
V-1832,2023-03-29,Texas A&M,77843,TX,Undergraduate,Off-Campus,Scholarship,None,22.04
V-1833,2023-04-21,UW Seattle,98195,WA,Undergraduate,Off-Campus,Scholarship,None,22.19
V-1834,2023-07-01,Rutgers,08901,NJ,Undergraduate,Off-Campus,Scholarship,None,12.3
V-1835,2023-12-02,Arizona State,85281,AZ,Undergraduate,Off-Campus,Pell Grant,Full,18.45
V-1836,2023-01-01,UF Gainesville,32611,FL,Undergraduate,Off-Campus,Pell Grant,None,18.87
V-1837,2023-07-31,Rutgers,08901,NJ,Undergraduate,On-Campus,Scholarship,None,12.27
V-1838,2023-10-21,Michigan State,48824,MI,Undergraduate,On-Campus,None,None,3.95
V-1839,2021-08-19,UC Irvine,92697,CA,Undergraduate,Off-Campus,Scholarship,Full,16.51
V-1840,2022-06-09,Ohio State,43210,OH,Undergraduate,Off-Campus,Scholarship,None,10.58
V-1841,2021-12-30,UMass Amherst,01003,MA,Undergraduate,Off-Campus,Pell Grant,Partial,13.06
V-1842,2023-04-16,Arizona State,85281,AZ,Undergraduate,Off-Campus,Pell Grant,None,15.39
V-1843,2022-10-05,Ohio State,43210,OH,Undergraduate,Off-Campus,Pell Grant,None,16.52
V-1844,2023-05-24,Arizona State,85281,AZ,Undergraduate,Off-Campus,None,None,13.32
V-1845,2022-09-21,Georgia Tech,30332,GA,Undergraduate,Off-Campus,None,Partial,15.23
V-1846,2023-12-20,Ohio State,43210,OH,Undergraduate,Off-Campus,Pell Grant,None,19.97
V-1847,2023-04-06,Arizona State,85281,AZ,Undergraduate,Off-Campus,Scholarship,Full,6.86
V-1848,2021-10-29,Rutgers,08901,NJ,Undergraduate,Off-Campus,Scholarship,Partial,7.82
V-1849,2020-09-08,UC Irvine,92697,CA,Undergraduate,Off-Campus,None,None,7.85
V-1850,2020-08-29,UMass Amherst,01003,MA,Graduate,Off-Campus,Pell Grant,None,16.42
V-1851,2023-01-23,Georgia Tech,30332,GA,Graduate,Off-Campus,Scholarship,None,23.54
V-1852,2022-04-29,UMass Amherst,01003,MA,Undergraduate,On-Campus,None,None,17.99
V-1853,2023-12-23,Rutgers,08901,NJ,Undergraduate,On-Campus,Scholarship,Partial,14.4
V-1854,2021-11-01,Texas A&M,77843,TX,Undergraduate,On-Campus,Pell Grant,Partial,12.7
V-1855,2022-12-15,Arizona State,85281,AZ,Undergraduate,Off-Campus,Pell Grant,None,19.93
V-1856,2021-07-21,Michigan State,48824,MI,Undergraduate,Off-Campus,None,None,14.07
V-1857,2022-12-30,Ohio State,43210,OH,Undergraduate,Off-Campus,Pell Grant,None,12.88
V-1858,2022-10-23,Arizona State,85281,AZ,Undergraduate,Off-Campus,Pell Grant,None,17.85
V-1859,2021-09-11,Michigan State,48824,MI,Undergraduate,Off-Campus,Pell Grant,Partial,16.47
V-1860,2023-04-28,UMass Amherst,01003,MA,Undergraduate,Off-Campus,None,None,16.24
V-1861,2023-06-13,Arizona State,85281,AZ,Graduate,Off-Campus,None,None,18.47
V-1862,2024-07-03,Georgia Tech,30332,GA,Undergraduate,Off-Campus,None,None,11.7
V-1863,2022-02-11,UMass Amherst,01003,MA,Undergraduate,On-Campus,Pell Grant,None,10.12
V-1864,2024-03-25,UF Gainesville,32611,FL,Undergraduate,Off-Campus,Pell Grant,Partial,12.03
V-1865,2023-09-20,UMass Amherst,01003,MA,Graduate,On-Campus,Scholarship,None,17.29
V-1866,2022-11-07,Michigan State,48824,MI,Undergraduate,Off-Campus,Scholarship,Partial,12.18
V-1867,2021-01-23,Rutgers,08901,NJ,Graduate,On-Campus,None,None,18.79
V-1868,2024-03-25,Georgia Tech,30332,GA,Undergraduate,Off-Campus,Scholarship,Partial,15.79
V-1869,2022-09-23,UF Gainesville,32611,FL,Undergraduate,On-Campus,Scholarship,None,9.66
V-1870,2022-07-04,Michigan State,48824,MI,Undergraduate,On-Campus,Scholarship,None,14.99
V-1871,2023-03-08,UC Irvine,92697,CA,Undergraduate,Off-Campus,Pell Grant,Full,14.9
V-1872,2024-05-20,Rutgers,08901,NJ,Undergraduate,Off-Campus,None,None,15.07
V-1873,2022-03-03,UMass Amherst,01003,MA,Undergraduate,Off-Campus,None,None,11.32
V-1874,2023-08-22,UF Gainesville,32611,FL,Undergraduate,Off-Campus,Scholarship,None,10.47
V-1875,2023-03-14,UW Seattle,98195,WA,Undergraduate,On-Campus,Pell Grant,None,16.83
V-1876,2022-11-24,Georgia Tech,30332,GA,Undergraduate,Off-Campus,Pell Grant,None,14.64
V-1877,2022-07-07,UC Irvine,92697,CA,Undergraduate,Off-Campus,Pell Grant,Partial,15.4
V-1878,2021-06-08,UMass Amherst,01003,MA,Graduate,On-Campus,Pell Grant,Partial,17.44
V-1879,2022-02-17,Ohio State,43210,OH,Undergraduate,Off-Campus,Pell Grant,Partial,11.54
V-1880,2024-01-03,Ohio State,43210,OH,Undergraduate,Off-Campus,Pell Grant,None,19.28
V-1881,2021-06-10,Rutgers,08901,NJ,Graduate,Off-Campus,None,None,29.81
V-1882,2024-01-16,UW Seattle,98195,WA,Graduate,Off-Campus,Pell Grant,Partial,20.05
V-1883,2023-07-31,Texas A&M,77843,TX,Undergraduate,Off-Campus,Scholarship,None,15.47
V-1884,2023-02-19,UW Seattle,98195,WA,Undergraduate,Off-Campus,Pell Grant,None,14.18
V-1885,2022-12-17,Rutgers,08901,NJ,Undergraduate,On-Campus,Scholarship,Partial,11.05
V-1886,2021-09-24,UMass Amherst,01003,MA,Undergraduate,Off-Campus,Pell Grant,None,11.59
V-1887,2022-09-23,Ohio State,43210,OH,Undergraduate,Off-Campus,Pell Grant,None,22.22
V-1888,2023-06-07,Arizona State,85281,AZ,Undergraduate,On-Campus,None,None,11.9
V-1889,2023-01-17,Rutgers,08901,NJ,Undergraduate,Off-Campus,Pell Grant,None,14.73
V-1890,2023-11-10,Ohio State,43210,OH,Graduate,Off-Campus,Pell Grant,None,18.5
V-1891,2023-10-18,Arizona State,85281,AZ,Graduate,Off-Campus,Pell Grant,None,20.8
V-1892,2021-11-28,Ohio State,43210,OH,Graduate,Off-Campus,Pell Grant,None,16.69
V-1893,2022-06-11,Michigan State,48824,MI,Undergraduate,On-Campus,Scholarship,Partial,11.91
V-1894,2023-09-17,UMass Amherst,01003,MA,Undergraduate,Off-Campus,Pell Grant,None,9.19
V-1895,2024-02-10,Ohio State,43210,OH,Undergraduate,Off-Campus,Pell Grant,None,15.67
V-1896,2024-02-13,UC Irvine,92697,CA,Undergraduate,On-Campus,Scholarship,Partial,13.85
V-1897,2022-11-09,Michigan State,48824,MI,Graduate,On-Campus,Pell Grant,Full,22.33
V-1898,2024-09-28,Georgia Tech,30332,GA,Undergraduate,Off-Campus,Scholarship,Partial,15.55
V-1899,2024-03-30,Michigan State,48824,MI,Graduate,On-Campus,Pell Grant,Full,18.45
V-1900,2023-02-14,Arizona State,85281,AZ,Undergraduate,Off-Campus,Scholarship,Partial,10.6
V-1901,2023-06-13,Texas A&M,77843,TX,Undergraduate,Off-Campus,Scholarship,Full,14.74
V-1902,2023-11-29,Ohio State,43210,OH,Graduate,Off-Campus,Pell Grant,None,26.37
V-1903,2024-07-23,UW Seattle,98195,WA,Undergraduate,Off-Campus,None,None,13.38
V-1904,2021-12-02,Rutgers,08901,NJ,Undergraduate,Off-Campus,None,None,6.21
V-1905,2023-10-26,UW Seattle,98195,WA,Graduate,Off-Campus,Pell Grant,None,21.86
V-1906,2023-03-26,Georgia Tech,30332,GA,Undergraduate,Off-Campus,Pell Grant,Partial,19.34
V-1907,2022-09-04,UW Seattle,98195,WA,Undergraduate,Off-Campus,None,Partial,16.29
V-1908,2024-04-09,UC Irvine,92697,CA,Undergraduate,Off-Campus,Pell Grant,None,10.54
V-1909,2023-07-20,Arizona State,85281,AZ,Undergraduate,Off-Campus,Pell Grant,None,15.31
V-1910,2023-10-26,UF Gainesville,32611,FL,Undergraduate,Off-Campus,Pell Grant,Partial,18.39
V-1911,2024-03-25,Arizona State,85281,AZ,Undergraduate,Off-Campus,Scholarship,Full,13.68
V-1912,2022-03-28,UW Seattle,98195,WA,Undergraduate,Off-Campus,None,None,11.6
V-1913,2024-03-05,UMass Amherst,01003,MA,Undergraduate,Off-Campus,Pell Grant,Partial,13.28
V-1914,2023-06-10,Michigan State,48824,MI,Undergraduate,On-Campus,Pell Grant,None,13.95
V-1915,2023-05-03,UMass Amherst,01003,MA,Undergraduate,Off-Campus,Pell Grant,Partial,10.02
V-1916,2021-03-24,UW Seattle,98195,WA,Undergraduate,On-Campus,None,Partial,13.75
V-1917,2023-01-09,Georgia Tech,30332,GA,Undergraduate,Off-Campus,Scholarship,Partial,15.38
V-1918,2024-07-30,Ohio State,43210,OH,Undergraduate,Off-Campus,None,None,16.72
V-1919,2023-06-23,UC Irvine,92697,CA,Undergraduate,Off-Campus,None,None,14.6
V-1920,2023-05-22,Arizona State,85281,AZ,Graduate,On-Campus,Pell Grant,Partial,15.96
V-1921,2020-06-23,Arizona State,85281,AZ,Undergraduate,Off-Campus,Scholarship,None,11.36
V-1922,2023-03-08,Georgia Tech,30332,GA,Undergraduate,On-Campus,None,Partial,21.72
V-1923,2024-02-29,Michigan State,48824,MI,Undergraduate,Off-Campus,None,None,16.23
V-1924,2021-03-13,UMass Amherst,01003,MA,Undergraduate,Off-Campus,Scholarship,None,9.74
V-1925,2024-01-13,UW Seattle,98195,WA,Undergraduate,Off-Campus,Pell Grant,None,17.61
V-1926,2023-11-25,UC Irvine,92697,CA,Undergraduate,Off-Campus,Scholarship,Partial,22.35
V-1927,2022-05-21,Ohio State,43210,OH,Undergraduate,On-Campus,None,None,15.31
V-1928,2022-12-02,UF Gainesville,32611,FL,Undergraduate,On-Campus,Scholarship,None,13.67
V-1929,2022-07-18,Rutgers,08901,NJ,Undergraduate,On-Campus,None,Partial,19.26
V-1930,2022-12-28,Rutgers,08901,NJ,Undergraduate,Off-Campus,None,None,12.4
V-1931,2021-10-09,Ohio State,43210,OH,Undergraduate,Off-Campus,None,None,17.39
V-1932,2023-08-04,UF Gainesville,32611,FL,Undergraduate,Off-Campus,Pell Grant,None,12.61
V-1933,2022-07-05,Georgia Tech,30332,GA,Undergraduate,Off-Campus,Scholarship,Partial,12.36
V-1934,2022-11-08,UMass Amherst,01003,MA,Undergraduate,Off-Campus,Pell Grant,None,17.34
V-1935,2023-05-09,Georgia Tech,30332,GA,Undergraduate,On-Campus,Scholarship,Partial,19.71
V-1936,2022-07-11,UMass Amherst,01003,MA,Undergraduate,Off-Campus,Pell Grant,None,13.61
V-1937,2024-09-05,UW Seattle,98195,WA,Undergraduate,On-Campus,Pell Grant,Partial,20.65
V-1938,2023-05-22,UC Irvine,92697,CA,Graduate,Off-Campus,Pell Grant,None,22.2
V-1939,2022-06-04,Rutgers,08901,NJ,Undergraduate,Off-Campus,None,Partial,10.78
V-1940,2023-07-11,UW Seattle,98195,WA,Undergraduate,Off-Campus,Scholarship,None,13.21
V-1941,2023-12-17,Texas A&M,77843,TX,Undergraduate,Off-Campus,Pell Grant,None,17.27
V-1942,2022-04-01,UW Seattle,98195,WA,Undergraduate,Off-Campus,Scholarship,None,19.3
V-1943,2023-01-17,UC Irvine,92697,CA,Undergraduate,On-Campus,Pell Grant,Full,18.49
V-1944,2022-05-08,Arizona State,85281,AZ,Undergraduate,Off-Campus,Pell Grant,None,18.0
V-1945,2024-05-23,Ohio State,43210,OH,Graduate,On-Campus,None,Full,16.25
V-1946,2024-01-31,Georgia Tech,30332,GA,Undergraduate,Off-Campus,None,None,18.16
V-1947,2023-06-20,Ohio State,43210,OH,Undergraduate,Off-Campus,None,None,17.44
V-1948,2022-03-03,UC Irvine,92697,CA,Undergraduate,Off-Campus,Pell Grant,Full,14.83
V-1949,2023-03-09,UMass Amherst,01003,MA,Undergraduate,On-Campus,Scholarship,None,17.15
V-1950,2021-06-01,UF Gainesville,32611,FL,Undergraduate,Off-Campus,Scholarship,None,6.31
V-1951,2024-01-22,Texas A&M,77843,TX,Undergraduate,Off-Campus,Pell Grant,None,6.14
V-1952,2023-02-22,Rutgers,08901,NJ,Graduate,Off-Campus,Pell Grant,None,21.53
V-1953,2021-05-31,Texas A&M,77843,TX,Undergraduate,Off-Campus,Pell Grant,None,12.88
V-1954,2022-10-06,UW Seattle,98195,WA,Undergraduate,Off-Campus,Pell Grant,Partial,13.32
V-1955,2024-01-14,Ohio State,43210,OH,Graduate,Off-Campus,Pell Grant,None,22.92
V-1956,2022-04-19,Ohio State,43210,OH,Undergraduate,Off-Campus,Pell Grant,Partial,14.62
V-1957,2023-11-08,UMass Amherst,01003,MA,Undergraduate,Off-Campus,Pell Grant,None,16.35
V-1958,2020-07-27,UC Irvine,92697,CA,Graduate,Off-Campus,Pell Grant,None,22.01
V-1959,2022-04-04,UMass Amherst,01003,MA,Undergraduate,On-Campus,None,Partial,11.7
V-1960,2024-02-03,UMass Amherst,01003,MA,Undergraduate,Off-Campus,Pell Grant,None,16.63
V-1961,2023-02-16,Michigan State,48824,MI,Undergraduate,On-Campus,Pell Grant,Partial,11.92
V-1962,2021-04-27,Rutgers,08901,NJ,Undergraduate,On-Campus,Pell Grant,Partial,5.52
V-1963,2023-04-16,Rutgers,08901,NJ,Undergraduate,Off-Campus,None,None,13.45
V-1964,2022-04-27,Texas A&M,77843,TX,Graduate,Off-Campus,None,None,24.06
V-1965,2020-12-06,Michigan State,48824,MI,Undergraduate,Off-Campus,Pell Grant,None,9.29
V-1966,2024-03-20,Michigan State,48824,MI,Graduate,Off-Campus,None,Partial,23.09
V-1967,2023-04-11,Arizona State,85281,AZ,Undergraduate,Off-Campus,None,None,18.22
V-1968,2024-03-03,Rutgers,08901,NJ,Undergraduate,Off-Campus,Pell Grant,None,18.28
V-1969,2020-10-16,UW Seattle,98195,WA,Undergraduate,On-Campus,Pell Grant,Partial,10.04
V-1970,2023-04-01,UF Gainesville,32611,FL,Graduate,On-Campus,Pell Grant,None,17.66
V-1971,2023-12-10,Rutgers,08901,NJ,Undergraduate,Off-Campus,Scholarship,None,15.3
V-1972,2023-04-17,Texas A&M,77843,TX,Undergraduate,On-Campus,Scholarship,None,15.7
V-1973,2023-12-07,Arizona State,85281,AZ,Undergraduate,On-Campus,Pell Grant,None,17.72
V-1974,2024-02-12,Texas A&M,77843,TX,Undergraduate,Off-Campus,Scholarship,Partial,17.91
V-1975,2022-10-16,UW Seattle,98195,WA,Undergraduate,Off-Campus,None,Partial,24.98
V-1976,2022-05-24,Arizona State,85281,AZ,Undergraduate,Off-Campus,None,Full,19.81
V-1977,2023-04-20,Arizona State,85281,AZ,Undergraduate,Off-Campus,Scholarship,Partial,13.23
V-1978,2024-03-03,UMass Amherst,01003,MA,Graduate,On-Campus,Pell Grant,None,29.76
V-1979,2023-05-19,Rutgers,08901,NJ,Undergraduate,On-Campus,Scholarship,None,10.25
V-1980,2023-04-10,Ohio State,43210,OH,Undergraduate,On-Campus,None,Full,10.56
V-1981,2023-01-17,UF Gainesville,32611,FL,Graduate,Off-Campus,None,None,23.57
V-1982,2021-05-16,UC Irvine,92697,CA,Undergraduate,Off-Campus,None,Partial,12.07
V-1983,2023-06-08,Ohio State,43210,OH,Undergraduate,On-Campus,Pell Grant,Partial,5.14
V-1984,2024-06-18,UMass Amherst,01003,MA,Undergraduate,Off-Campus,Pell Grant,None,21.49
V-1985,2023-01-10,UC Irvine,92697,CA,Undergraduate,Off-Campus,None,None,16.87
V-1986,2023-05-22,UC Irvine,92697,CA,Undergraduate,On-Campus,None,None,14.29
V-1987,2022-07-23,UC Irvine,92697,CA,Graduate,On-Campus,Pell Grant,None,19.31
V-1988,2022-12-03,Ohio State,43210,OH,Undergraduate,Off-Campus,Scholarship,None,13.46
V-1989,2021-11-19,UF Gainesville,32611,FL,Graduate,Off-Campus,Pell Grant,None,11.24
V-1990,2023-04-29,Georgia Tech,30332,GA,Undergraduate,Off-Campus,Pell Grant,Partial,11.08
V-1991,2023-01-21,Georgia Tech,30332,GA,Graduate,Off-Campus,None,Full,17.77
V-1992,2020-04-25,UMass Amherst,01003,MA,Undergraduate,Off-Campus,Pell Grant,Partial,16.59
V-1993,2023-03-21,Ohio State,43210,OH,Graduate,Off-Campus,Pell Grant,None,18.27
V-1994,2023-01-17,UMass Amherst,01003,MA,Graduate,Off-Campus,Pell Grant,None,21.95
V-1995,2022-09-05,UC Irvine,92697,CA,Undergraduate,Off-Campus,None,Partial,13.42
V-1996,2021-04-03,Arizona State,85281,AZ,Graduate,Off-Campus,Scholarship,Partial,15.46
V-1997,2022-07-01,Rutgers,08901,NJ,Undergraduate,Off-Campus,Pell Grant,None,15.07
V-1998,2023-01-11,Arizona State,85281,AZ,Undergraduate,Off-Campus,None,Partial,14.35
V-1999,2023-07-26,UF Gainesville,32611,FL,Undergraduate,Off-Campus,Pell Grant,None,19.16
V-2000,2024-11-05,Texas A&M,77843,TX,Undergraduate,Off-Campus,None,None,14.28
V-2001,2022-09-02,Texas A&M,77843,TX,Undergraduate,Off-Campus,Pell Grant,Partial,11.53
V-2002,2022-10-06,UW Seattle,98195,WA,Graduate,Off-Campus,Scholarship,Partial,23.54
V-2003,2023-08-06,UC Irvine,92697,CA,Undergraduate,Off-Campus,None,None,14.15
V-2004,2023-04-26,Georgia Tech,30332,GA,Undergraduate,Off-Campus,None,None,18.34
V-2005,2024-06-29,Texas A&M,77843,TX,Undergraduate,Off-Campus,Scholarship,Partial,13.43
V-2006,2023-11-27,Rutgers,08901,NJ,Undergraduate,Off-Campus,Pell Grant,None,15.7
V-2007,2023-07-11,UF Gainesville,32611,FL,Undergraduate,Off-Campus,Pell Grant,None,12.36
V-2008,2021-06-09,UW Seattle,98195,WA,Undergraduate,Off-Campus,Pell Grant,None,9.82
V-2009,2022-08-01,Arizona State,85281,AZ,Undergraduate,Off-Campus,Scholarship,Partial,5.23
V-2010,2021-06-24,UC Irvine,92697,CA,Undergraduate,Off-Campus,None,Partial,19.27
V-2011,2021-02-18,UF Gainesville,32611,FL,Graduate,Off-Campus,Scholarship,None,16.94
V-2012,2021-03-15,Rutgers,08901,NJ,Undergraduate,Off-Campus,Pell Grant,None,15.01
V-2013,2023-06-24,Arizona State,85281,AZ,Undergraduate,Off-Campus,Pell Grant,None,14.11
V-2014,2023-07-03,Arizona State,85281,AZ,Undergraduate,Off-Campus,None,None,19.51
V-2015,2020-06-05,UC Irvine,92697,CA,Undergraduate,Off-Campus,Pell Grant,None,5.41
V-2016,2023-05-24,UF Gainesville,32611,FL,Undergraduate,Off-Campus,Pell Grant,None,15.54
V-2017,2024-02-04,UW Seattle,98195,WA,Undergraduate,Off-Campus,None,Partial,18.31
